Title,Authors
Number Density of Peaks in a Chi-Squared Field,"Jolyon K. Bloomfield, Stephen H. P. Face, Alan H. Guth, Saarik Kalia, Casey Lam, Zander Moss"
NPTFit: A code package for Non-Poissonian Template Fitting,"Siddharth Mishra-Sharma, Nicholas L. Rodd, Benjamin R. Safdi"
New simulation strategies for lattice gauge theory,Michael G. Endres
Deep learning in color: towards automated quark/gluon jet discrimination,"Patrick T. Komiske, Eric M. Metodiev, Matthew D. Schwartz"
Highly repeatable nanoscale phase coexistence in vanadium dioxide films,"T. J. Huffman, D. J. Lahneman, S. L. Wang, T. Slusar, Bong-Jun Kim, Hyun-Tak Kim, M. M. Qazilbash"
Subleading Power Corrections for N-Jettiness Subtractions,"Ian Moult, Lorena Rothen, Iain W. Stewart, Frank J. Tackmann, Hua Xing Zhu"
Plug & Play Generative Networks: Conditional Iterative Generation of Images in Latent Space,"Anh Nguyen, Jeff Clune, Yoshua Bengio, Alexey Dosovitskiy, Jason Yosinski"
Diffusion and Chaos from near AdS$_2$ horizons,"Mike Blake, Aristomenis Donos"
Tuned and Non-Higgsable U(1)s in F-theory,Yi-Nan Wang
"Realization of a ""Two Relaxation Rates"" in the Hubbard-Falicov-Kimball Model","H. Barman, M. S. Laad, S. R. Hassan"
Cosmic Bell Test: Measurement Settings from Milky Way Stars,"Johannes Handsteiner, Andrew S. Friedman, Dominik Rauch, Jason Gallicchio, Bo Liu, Hannes Hosp, Johannes Kofler, David Bricher, Matthias Fink, Calvin Leung, Anthony Mark, Hien T. Nguyen, Isabella Sanders, Fabian Steinlechner, Rupert Ursin, Sören Wengerowsky, Alan H. Guth, David I. Kaiser, Thomas Scheidl, Anton Zeilinger"
ResFeats: Residual Network Based Features for Image Classification,"Ammar Mahmood, Mohammed Bennamoun, Senjian An, Ferdous Sohel"
Separating quantum communication and approximate rank,"Anurag Anshu, Shalev Ben-David, Ankit Garg, Rahul Jain, Robin Kothari, Troy Lee"
Sparse Control for Dynamic Movement Primitives,"Patrick M. Wensing, Jean-Jacques Slotine"
Automatic discovery of discriminative parts as a quadratic assignment problem,"Ronan Sicre, Julien Rabin, Yannis Avrithis, Teddy Furon, Frederic Jurie"
Fisher Information Framework for Time Series Modeling,"R. C. Venkatesan, A. Plastino"
Quark Orbital Angular Momentum in theMITBag Model,"A. Courtoy, A. S. Miramontes"
"Interacting fermions in rotation: chiral symmetry restoration, moment of inertia and thermodynamics","M. N. Chernodub, Shinya Gongyo"
Boundary Terms and Three-Point Functions: An AdS/CFT Puzzle Resolved,"Daniel Z. Freedman, Krzysztof Pilch, Silviu S. Pufu, Nicholas P. Warner"
Validation of Tsallis Entropy In Inter-Modality Neuroimage Registration,"Henrique Tomaz Amaral-Silva, Luiz Otavio Murta-Jr, Paulo Mazzoncini de Azevedo-Marques, Lauro Wichert-Ana, V. B. Surya Prasath, Colin Studholme"
Introduction to the physics of the total cross-section at LHC: A Review of Data and Models,"Giulia Pancheri, Yogendra N. Srivastava"
Coupling constant corrections in a holographic model of heavy ion collisions,"Sašo Grozdanov, Wilke van der Schee"
"Preheating after multifield inflation with nonminimal couplings, III: Dynamical spacetime results","Matthew P. DeCross, David I. Kaiser, Anirudh Prabhu, Chanda Prescod-Weinstein, Evangelos I. Sfakianakis"
"Preheating after multifield inflation with nonminimal couplings, II: Resonance Structure","Matthew P. DeCross, David I. Kaiser, Anirudh Prabhu, Chanda Prescod-Weinstein, Evangelos I. Sfakianakis"
A first thermodynamic interpretation of the technology transfer activities,"S. Ripandelli, U. Lucia"
On three early papers by Herbert Busemann,"Athanase Papadopoulos, Marc Troyanov"
General Constraints on Dark Matter Decay from the Cosmic Microwave Background,"Tracy R. Slatyer, Chih-Liang Wu"
Non-Higgsable abelian gauge symmetry and F-theory on fiber products of rational elliptic surfaces,"David R. Morrison, Daniel S. Park, Washington Taylor"
"(2,2) Superconformal Bootstrap in Two Dimensions","Ying-Hsuan Lin, Shu-Heng Shao, Yifan Wang, Xi Yin"
Proton-proton fusion and tritium $β$-decay from lattice quantum chromodynamics,"Martin J. Savage, Phiala E. Shanahan, Brian C. Tiburzi, Michael L. Wagman, Frank Winter, Silas R. Beane, Emmanuel Chang, Zohreh Davoudi, William Detmold, Kostas Orginos"
Low-energy electronic recoil in xenon detectors by solar neutrinos,"Jiunn-Wei Chen, Hsin-Chang Chi, C. -P. Liu, Chih-Pan Wu"
Robust self-testing of many-qubit states,"Anand Natarajan, Thomas Vidick"
Boosted Dark Matter at Neutrino Experiments,"Lina Necib, Jarrett Moon, Taritree Wongjirad, Janet M. Conrad"
Holographic Butterfly Effect at Quantum Critical Points,"Yi Ling, Peng Liu, Jian-Pin Wu"
Indoor Space Recognition using Deep Convolutional Neural Network: A Case Study atMITCampus,"Fan Zhang, Fabio Duarte, Ruixian Ma, Dimitrios Milioris, Hui Lin, Carlo Ratti"
Knowledge Guided Disambiguation for Large-Scale Scene Classification with Multi-Resolution CNNs,"Limin Wang, Sheng Guo, Weilin Huang, Yuanjun Xiong, Yu Qiao"
Multi-view Self-supervised Deep Learning for 6D Pose Estimation in the Amazon Picking Challenge,"Andy Zeng, Kuan-Ting Yu, Shuran Song, Daniel Suo, Ed Walker Jr., Alberto Rodriguez, Jianxiong Xiao"
Additive Classical Capacity of Quantum Channels Assisted by Noisy Entanglement,"Quntao Zhuang, Elton Yechao Zhu, Peter W. Shor"
Benchmarking SciDB Data Import on HPC Systems,"Siddharth Samsi, Laura Brattain, William Arcand, David Bestor, Bill Bergeron, Chansup Byun, Vijay Gadepally, Michael Houle, Matthew Hubbell, Michael Jones, Anna Klein, Peter Michaleas, Lauren Milechin, Julie Mullen, Andrew Prout, Antonio Rosa, Charles Yee, Jeremy Kepner, Albert Reuther"
New Angles on Energy Correlation Functions,"Ian Moult, Lina Necib, Jesse Thaler"
A Geometric Formulation of Supersymmetry,"Daniel Z. Freedman, Diederik Roest, Antoine Van Proeyen"
Imbalanced-learn: A Python Toolbox to Tackle the Curse of Imbalanced Datasets in Machine Learning,"Guillaume Lemaitre, Fernando Nogueira, Christos K. Aridas"
Bouncing Dirac particles: compatibility betweenMITboundary conditions and Thomas precession,Nistor Nicolaevici
Fermionic condensate and the Casimir effect in cosmic string spacetime,"A. Kh. Grigoryan, A. R. Mkrtchyan, A. A. Saharian"
Soft-Collinear Supersymmetry,"Timothy Cohen, Gilly Elor, Andrew J. Larkoski"
The Analytic Structure of Non-Global Logarithms: Convergence of the Dressed Gluon Expansion,"Andrew J. Larkoski, Ian Moult, Duff Neill"
Octet Baryon Magnetic Moments from Lattice QCD: Approaching Experiment from a Three-Flavor Symmetric Point,"Assumpta Parreno, Martin J. Savage, Brian C. Tiburzi, Jonas Wilhelm, Emmanuel Chang, William Detmold, Kostas Orginos"
Exploring nonlocal observables in shock wave collisions,"Christian Ecker, Daniel Grumiller, Philipp Stanzer, Stefan A. Stricker, Wilke van der Schee"
A Noncompact Weyl-Einstein-Yang-Mills Model: A Semiclassical Quantum Gravity,Suat Dengiz
Impeded Dark Matter,"Joachim Kopp, Jia Liu, Tracy R. Slatyer, Xiao-Ping Wang, Wei Xue"
Volume RaycastingmitOpenCL,Nils Kopal
Entanglement Growth after a Global Quench in Free Scalar Field Theory,"Jordan S. Cotler, Mark P. Hertzberg, Márk Mezei, Mark T. Mueller"
Weakly Supervised PatchNets: Describing and Aggregating Local Patches for Scene Recognition,"Zhe Wang, Limin Wang, Yali Wang, Bowen Zhang, Yu Qiao"
ErdmessungmitQuanten und Relativität,Jürgen Müller
Entwicklung eines Gasmoderators für Positronen,Benjamin Löwe
Finite-size and composition-driven topological phase transition in (Bi$_{1-x}$In$_x$)$_2$Se$_3$ thin films,"Maryam Salehi, Hassan Shapourian, Nikesh Koirala, Matthew J. Brahlek, Jisoo Moon, Seongshik Oh"
Tuning the metal-insulator transition in d^1 and d^2 perovskites by epitaxial strain: a first principles-based study,"Gabriele Sclauzero, Krzysztof Dymkowski, Claude Ederer"
Effects of the quark-hadron phase transition on highly magnetized neutron stars,"B. Franzon, R. O. Gomes, S. Schramm"
Residual CNDS,"Hussein A. Al-Barazanchi, Hussam Qassim, Abhishek Verma"
Robust Shortest Path Planning and Semicontractive Dynamic Programming,Dimitri Bertsekas
Affine Monotonic and Risk-Sensitive Models in Dynamic Programming,Dimitri Bertsekas
Top Quark Mass Calibration for Monte Carlo Event Generators,"Mathias Butenschoen, Bahman Dehnadi, Andre H. Hoang, Vicent Mateu, Moritz Preisser, Iain W. Stewart"
Compact stars with strongly coupled quark matter in a strong magnetic field,"D. A. Fogaça, S. M. Sanches Jr., T. F. Motta, F. S. Navarra"
Unstable nuclei in dissociation of light stable and radioactive nuclei in nuclear track emulsion,"D. A. Artemenkov, A. A. Zaitsev, P. I. Zarubin"
An Imitation Game concerning gravitational wave physics,Harry Collins
"Influence of Al-doping on the structural, magnetic, and electrical properties of La$_{1-x}$Ba$_x$Mn$_{1-x}$Al$_x$O$_3$ ($0\leq x \leq 0.25$) manganites","J. Ardashti Saleh, I. Abdolhosseini Sarsari, P. Kameli, H. Salamati"
LLMapReduce: Multi-Level Map-Reduce for High Performance Data Analysis,"Chansup Byun, Jeremy Kepner, William Arcand, David Bestor, Bill Bergeron, Vijay Gadepally, Matthew Hubbell, Peter Michaleas, Julie Mullen, Andrew Prout, Antonio Rosa, Charles Yee, Albert Reuther"
Hierarchical Manifold Clustering on Diffusion Maps for Connectomics (MIT18.S096 final project),Gergely Odor
Holographic heavy ion collisions with baryon charge,"Jorge Casalderrey-Solana, David Mateos, Wilke van der Schee, Miquel Triana"
Approach to a Proof of the Riemann Hypothesis by the Second Mean-Value Theorem of Calculus,Alfred Wünsche
Radial stability of anisotropic strange quark stars,"José D. V. Arbañil, M. Malheiro"
Thermal transport across a continuous metal-insulator transition,"P. Haldar, M. S. Laad, S. R. Hassan"
"Sequential measurements, disturbance and property testing","Aram W. Harrow, Cedric Yen-Yu Lin, Ashley Montanaro"
Short Range Correlations and the EMC Effect in Effective Field Theory,"Jiunn-Wei Chen, William Detmold, Joel E. Lynn, Achim Schwenk"
On theMITbag model: self-adjointness and non-relativistic limit,"Naiara Arrizabalaga, Loïc Le Treust, Nicolas Raymond"
On the curious spectrum of duality invariant higher-derivative gravity,"Olaf Hohm, Usman Naseer, Barton Zwiebach"
Tensionless Superstrings: View from the Worldsheet,"Arjun Bagchi, Shankhadeep Chakrabortty, Pulastya Parekh"
Light quark Yukawa couplings from Higgs kinematics,"Yotam Soreq, Hua Xing Zhu, Jure Zupan"
Chiral Effective Theory Methods and their Application to the Structure of Hadrons from Lattice QCD,P. E. Shanahan
Metallic monoclinic phase in VO$_2$ induced by electrochemical gating: in-situ Raman study,"Satyendra Nath Gupta, Anand Pal, D. V. S. Muthu, P. S. Anil Kumar, A. K. Sood"
Complex Systems and a Computational Social Science Perspective on the Labor Market,Abdullah Almaatouq
Holographic Metal-Insulator Transition in Higher Derivative Gravity,"Yi Ling, Peng Liu, Jian-Pin Wu, Zhenhua Zhou"
Gluonic Transversity from Lattice QCD,"W. Detmold, P. E. Shanahan"
Deciphering Contributions to the Extragalactic Gamma-Ray Background from 2 GeV to 2 TeV,"Mariangela Lisanti, Siddharth Mishra-Sharma, Lina Necib, Benjamin R. Safdi"
The Higgs transverse momentum spectrum with finite quark masses beyond leading order,"Fabrizio Caola, Stefano Forte, Simone Marzani, Claudio Muselli, Gherardo Vita"
DNest4: Diffusive Nested Sampling in C++ and Python,"Brendon J. Brewer, Daniel Foreman-Mackey"
Resource Destroying Maps,"Zi-Wen Liu, Xueyuan Hu, Seth Lloyd"
Resurrecting the Dead Cone,"Fabio Maltoni, Michele Selvaggi, Jesse Thaler"
Non-perturbative landscape of the Mott-Hubbard transition: Multiple divergence lines around the critical endpoint,"T. Schäfer, S. Ciuchi, M. Wallerberger, P. Thunström, O. Gunnarsson, G. Sangiovanni, G. Rohringer, A. Toschi"
Quark-Meson Coupling model based upon the Nambu-Jona Lasinio model,"D. L. Whittenbury, M. E. Carrillo-Serrano, A. W. Thomas"
Relativistic model for anisotropic strange stars,"Debabrata Deb, Sourav Roy Chowdhury, Saibal Ray, Farook Rahaman, B. K. Guha"
Spherical Cows in Dark Matter Indirect Detection,"Nicolás Bernal, Lina Necib, Tracy R. Slatyer"
OpenSalicon: An Open Source Implementation of the Salicon Saliency Model,Christopher Thomas
Multiscale Monte Carlo equilibration: Two-color QCD with two fermion flavors,"William Detmold, Michael G. Endres"
Randomized query complexity of sabotaged and composed functions,"Shalev Ben-David, Robin Kothari"
Enhanced gauge symmetry in 6D F-theory models and tuned elliptic Calabi-Yau threefolds,"Samuel B. Johnson, Washington Taylor"
Factorization for Jet Radius Logarithms in Jet Mass Spectra at the LHC,"Daniel W. Kolodrubetz, Piotr Pietrulewicz, Iain W. Stewart, Frank J. Tackmann, Wouter J. Waalewijn"
Deep Learning without Poor Local Minima,Kenji Kawaguchi
$γ_5$ in Dimensional Regularization: a Novel Approach,Ruggero Ferrari
Accuracy and Precision in Collider Event Shapes,Daniel W. Kolodrubetz
Employing Helicity Amplitudes for Resummation in SCET,"Ian Moult, Iain W. Stewart, Frank J. Tackmann, Wouter J. Waalewijn"
Exploiting jet binning to identify the initial state of high-mass resonances,"Markus A. Ebert, Stefan Liebler, Ian Moult, Iain W. Stewart, Frank J. Tackmann, Kerstin Tackmann, Lisa Zeune"
Cluster-lensing: A Python Package for Galaxy Clusters & Miscentering,"Jes Ford, Jake VanderPlas"
Mortgages and Refinancing,"Khizar Qureshi, Cheng Su"
Brute-Force Mapmaking with Compact Interferometers: A MITEoR Northern Sky Map from 128 MHz to 175 MHz,"H. Zheng, M. Tegmark, J. Dillon, A. Liu, A. R. Neben, S. Tribiano, R. Bradley, V. Buza, A. Ewall-Wice, H. Gharibyan, J. Hickish, E. Kunz, J. Losh, A. Lutomirski, E. Morgan, S. Morrison, S. Narayanan, A. Perko, D. Rosner, N. Sanchez, K. Schutz, M. Valdez, J. Villasenor, H. Yang, K. Zarb-Adami"
AndorEstimator: Android based Software Cost Estimation Application,"Muhammad Zubair Asghar, Ammara Habib, Anam Habib, Syeda Rabail Zahra, Sadia Ismail"
Adobe-MITsubmission to the DSTC 4 Spoken Language Understanding pilot task,"Franck Dernoncourt, Ji Young Lee, Trung H. Bui, Hung H. Bui"
Separations in communication complexity using cheat sheets and information complexity,"Anurag Anshu, Aleksandrs Belovs, Shalev Ben-David, Mika Göös, Rahul Jain, Robin Kothari, Troy Lee, Miklos Santha"
Block Shelves for Visual Programming Languages,"Sheng-yi Hsu, Yuan-fu Lou, Chuen-tsai Sun"
Effective Field Theories for the LHC,Ian Moult
Kernel Balancing: A flexible non-parametric weighting procedure for estimating causal effects,Chad Hazlett
Disorder-driven metal-insulator transitions in deformable lattices,"Domenico Di Sante, Simone Fratini, Vladimir Dobrosavljević, Sergio Ciuchi"
Calibration of the K-Profile Parameterization of ocean boundary layer mixing. Part I: Development,"S. E. Zedler, C. S. Jackson, F. Yao, P. Heimbach, A. Kohl, R. B. Scott, I Hoteit"
Characterization of Quantum Phase Transition using Holographic Entanglement Entropy,"Yi Ling, Peng Liu, Jian-Pin Wu"
A Summary of TeamMIT'sApproach to the Amazon Picking Challenge 2015,"Kuan-Ting Yu, Nima Fazeli, Nikhil Chavan-Dafle, Orion Taylor, Elliott Donlon, Guillermo Diaz Lankenau, Alberto Rodriguez"
High-level GPU programming in Julia,"Tim Besard, Pieter Verstraete, Bjorn De Sutter"
The Darkest Hour Before Dawn: Contributions to Cosmic Reionization from Dark Matter Annihilation and Decay,"Hongwan Liu, Tracy R. Slatyer, Jesús Zavala"
Electronic Griffiths Phase in the Te - Doped Semiconductor FeSb$_{2}$,"Rongwei Hu, Kefeng Wang, Hyejin Ryu, Hechang Lei, E. S. Choi, M. Uhlarz, J. Wosnitza, C. Petrovic"
Bootstrapping rapidity anomalous dimension for transverse-momentum resummation,"Ye Li, Hua Xing Zhu"
Three-Index Symmetric Matter Representations of SU(2) in F-Theory from Non-Tate Form Weierstrass Models,"Denis Klevers, Washington Taylor"
Layer-wise Relevance Propagation for Neural Networks with Local Renormalization Layers,"Alexander Binder, Grégoire Montavon, Sebastian Bach, Klaus-Robert Müller, Wojciech Samek"
Analytic pion form factor,"Earle L. Lomon, Simone Pacetti"
Collinear Superspace,"Timothy Cohen, Gilly Elor, Andrew J. Larkoski"
Lieb-Robinson and the butterfly effect,"Daniel A. Roberts, Brian Swingle"
Inclusive Dark Photon Search at LHCb,"Philip Ilten, Yotam Soreq, Jesse Thaler, Mike Williams, Wei Xue"
Engineering Holographic Superconductor Phase Diagrams,"Jiunn-Wei Chen, Shou-Huang Dai, Debaprasad Maity, Yun-Long Zhang"
Predictive Modeling of Opinion and Connectivity Dynamics in Social Networks,"Ajay Saini, Natasha Markuzon"
A new dynamical instability in Anti-de-Sitter spacetime,"Umut Gürsoy, Aron Jansen, Wilke van der Schee"
Circular orbits and related quasi-harmonic oscillatory motion of charged particles around weakly magnetized rotating black holes,"Arman Tursunov, Zdeněk Stuchlík, Martin Kološ"
Comparing Human and Automated Evaluation of Open-Ended Student Responses to Questions of Evolution,"Michael J Wiser, Louise S Mead, James J Smith, Robert T Pennock"
Volume-wise destruction of the antiferromagnetic Mott insulating state through quantum tuning,"Benjamin A. Frandsen, Lian Liu, Sky C. Cheung, Zurab Guguchia, Rustem Khasanov, Elvezio Morenzoni, Timothy J. S. Munsie, Alannah M. Hallas, Murray N. Wilson, Yipeng Cai, Graeme M. Luke, Bijuan Chen, Wenmin Li, Changqing Jin, Cui Ding, Shengli Guo, Fanlong Ning, Takashi U. Ito, Wararu Higemoto, Simon J. L. Billinge, Shoya Sakamoto, Atsushi Fujimori, Taito Murakami, Hiroshi Kageyama, Jose Antonio Alonso"
Nucleon Helicity and Transversity Parton Distributions from Lattice QCD,"Jiunn-Wei Chen, Saul D. Cohen, Xiangdong Ji, Huey-Wen Lin, Jian-Hui Zhang"
A Latitude-Dependent Analysis of the Leptonic Hypothesis for the Fermi Bubbles,"Sruthi A. Narayanan, Tracy R. Slatyer"
Comments on the diphoton excess: critical reappraisal of effective field theory interpretations,"Jernej F. Kamenik, Benjamin R. Safdi, Yotam Soreq, Jure Zupan"
Metal-insulator transition in correlated two-dimensional systems with disorder,Dragana Popović
Analyzing In-Game Movements of Soccer Players at Scale,"Laszlo Gyarmati, Mohamed Hefeeda"
Universal relations between nongaussian fluctuations in heavy-ion collisions,"Jiunn-Wei Chen, Jian Deng, Hiroaki Kohyama, Lance Labun"
Key role of lattice symmetry in the metal-insulator transition of NdNiO3 films,"Jack Y. Zhang, Honggyu Kim, Evgeny Mikheev, Adam J. Hauser, Susanne Stemmer"
Nonlinear Chiral Transport Phenomena,"Jiunn-Wei Chen, Takeaki Ishii, Shi Pu, Naoki Yamamoto"
Metal-Insulator Transition in the Hubbard Model: Correlations and Spiral Magnetic Structures,"M. A. Timirgazin, P. A. Igoshev, A. K. Arzhnikov, V. Yu. Irkhin"
"Magnetic States, Correlation Effects and Metal-Insulator Transition in FCC Lattice","M. A. Timirgazin, P. A. Igoshev, A. K. Arzhnikov, V. Yu. Irkhin"
On the Validity of the Assumptions of the classical Coupon Collector's Problem,"Niklas Braband, Sonja Braband, Malte Braband"
Flies as Ship Captains? Digital Evolution Unravels Selective Pressures to Avoid Collision in Drosophila,"Ali Tehrani-Saleh, Christoph Adami"
Quantum critical magneto-transport at a continuous metal-insulator transition,"P. Haldar, M. S. Laad, S. R. Hassan, Madhavi Chand, Pratap Raychaudhuri"
Quantum critical transport at a continuous metal-insulator transition,"P. Haldar, M. S. Laad, S. R. Hassan"
Disordered Quivers and Cold Horizons,"Dionysios Anninos, Tarek Anous, Frederik Denef"
Exploring the coevolution of predator and prey morphology and behavior,"Randal S. Olson, Arend Hintze, Fred C. Dyer, Jason H. Moore, Christoph Adami"
Universal Refocusing of Systematic Quantum Noise,"Imdad S. B. Sardharwalla, Toby S. Cubitt, Aram W. Harrow, Noah Linden"
Quantum Supremacy through the Quantum Approximate Optimization Algorithm,"Edward Farhi, Aram W Harrow"
Gravity and On-Shell Probe Actions,"Frank Ferrari, Antonin Rovai"
Temperature and Electric Field Induced Metal-Insulator Transition in Atomic Layer Deposited Vanadium Dioxide Thin Films,"Marko J. Tadjer, Virginia D. Wheeler, Brian P. Downey, Zachary R. Robinson, David J. Meyer, Charles R. Eddy, Jr., Fritz J. Kub"
Hole-doping-induced melting of spin-state ordering in PrBaCo2O5.5+x,"Ping Miao, Xiaohuan Lin, Sanghyun Lee, Yoshihisa Ishikawa, Shuki Torii, Masao Yonemura, Tetsuro Ueno, Nobuhito Inami, Kanta Ono, Yinxia Wang, Takashi Kamiyama"
"Aspects of Symmetry, Topology and Anomalies in Quantum Matter",Juven C. Wang
Probing New Physics with Isotope Shift Spectroscopy,"Cédric Delaunay, Yotam Soreq"
A simple but precise method for solving axisymmetric contact problems involving elastically graded materials,Markus Heß
Striped nanoscale phase separation at the metal-insulator transition of heteroepitaxial nickelates,"Giordano Mattoni, Pavlo Zubko, Francesco Maccherozzi, Alexander J. H. van der Torren, Daan B. Boltje, Marios Hadjimichael, Nicola Manca, Sara Catalano, Marta Gibert, Yanwei Liu, Jan Aarts, Jean-Marc Triscone, Sarnjeet S. Dhesi, Andrea D. Caviglia"
Phylo.io: interactive viewing and comparison of large phylogenetic trees on the web,"Oscar Robinson, David Dylus, Christophe Dessimoz"
Evolution of the jet opening angle distribution in holographic plasma,"Krishna Rajagopal, Andrey V. Sadofyev, Wilke van der Schee"
Superconductor Digital Electronics: Scalability and Energy Efficiency Issues,Sergey K. Tolpygo
Human Atlas: A Tool for Mapping Social Networks,"Martin Saveski, Eric Chu, Soroush Vosoughi, Deb Roy"
Disentangled Representations in Neural Models,William Whitney
"$Λ_b \to Λ\ell^+ \ell^-$ form factors, differential branching fraction, and angular observables from lattice QCD with relativistic $b$ quarks","William Detmold, Stefan Meinel"
Three-point Functions in Duality-Invariant Higher-Derivative Gravity,"Usman Naseer, Barton Zwiebach"
Broadband and Resonant Approaches to Axion Dark Matter Detection,"Yonatan Kahn, Benjamin R. Safdi, Jesse Thaler"
Faddeev-Jackiw Hamiltonian Reduction for Free and Gauged Rarita-Schwinger Theories,Suat Dengiz
Wigner-Mott quantum criticality: from 2D-MITto 3He and Mott organics,"V. Dobrosavljevic, D. Tanaskovic"
Locally-Supervised Deep Hybrid Model for Scene Recognition,"Sheng Guo, Weilin Huang, Limin Wang, Yu Qiao"
Atomic ionization by sterile-to-active neutrino conversion and constraints on dark matter sterile neutrinos with germanium detectors,"Jiunn-Wei Chen, Hsin-Chang Chi, Shin-Ted Lin, C. -P. Liu, Lakhwinder Singh, Henry T. Wong, Chih-Liang Wu, Chih-Pan Wu"
"Vanadium Dioxide: Metal-Insulator Transition, Electrical Switching and Oscillations. A Review of State of the Art and Recent Progress","Alexander Pergament, Aurelian Crunteanu, Arnaud Beaumont, Genrikh Stefanovich, Andrey Velichko"
Probing the hadron-quark mixed phase at high isospin and baryon density - Sensitive observables,"Massimo Di Toro, Maria Colonna, Vincenzo Greco, Guo-Yun Shao"
Simplifying Wireless Social Caching,"Mohammed Karmoose, Martina Cardone, Christina Fragouli"
Tetrisation of triangular meshes and its application in shape blending,Shizuo Kaji
An Effective Field Theory for Forward Scattering and Factorization Violation,"Ira Z. Rothstein, Iain W. Stewart"
Bubble dynamics and the quark-hadron phase transition in nuclear collisions,"D. A. Fogaça, S. M. Sanches Jr., R. Fariello, F. S. Navarra"
Simulated Quantum Annealing Can Be Exponentially Faster than Classical Simulated Annealing,"Elizabeth Crosson, Aram W. Harrow"
Building Blocks for Subleading Helicity Operators,"Daniel W. Kolodrubetz, Ian Moult, Iain W. Stewart"
Anti-commutative Dual Complex Numbers and 2D Rigid Transformation,"Genki Matsuda, Shizuo Kaji, Hiroyuki Ochiai"
Performance of QAOA on Typical Instances of Constraint Satisfaction Problems with Bounded Degree,"Cedric Yen-Yu Lin, Yechao Zhu"
Computational Complexity of Some Quantum Theories in $1+1$ Dimensions,Saeed Mehraban
Diphoton excess at 750 GeV: gluon-gluon fusion or quark-antiquark annihilation?,"Jun Gao, Hao Zhang, Hua Xing Zhu"
Galilean Yang-Mills Theory,"Arjun Bagchi, Rudranil Basu, Ashish Kakkar, Aditya Mehra"
Weak and strong coupling equilibration in nonabelian gauge theories,"Liam Keegan, Aleksi Kurkela, Paul Romatschke, Wilke van der Schee, Yan Zhu"
Rotating fermions inside a cylindrical boundary,"Victor E. Ambrus, Elizabeth Winstanley"
"Group Mobility: Detection, Tracking and Characterization","Ivan Oliveira Nunes, Pedro O. S. Vaz de Melo, Antonio A. F. Loureiro"
Über die Klassifizierung von Knoten in dynamischen NetzwerkenmitInhalt,Martin Thoma
Direct Intrinsics: Learning Albedo-Shading Decomposition by Convolutional Regression,"Takuya Narihira, Michael Maire, Stella X. Yu"
Oscillatory Attractors: A New Cosmological Phase,"Jasdeep S. Bains, Mark P. Hertzberg, Frank Wilczek"
Heavy-Flavor-Conserving Hadronic Weak Decays of Heavy Baryons,"Hai-Yang Cheng, Chi-Yee Cheung, Guey-Lin Lin, Yeu-Chung Lin, Tung-Mow Yan, Hoi-Lai Yu"
Nearly optimal separations between communication (or query) complexity and partitions,Robin Kothari
Cosmology with orthogonal nilpotent superfields,"Sergio Ferrara, Renata Kallosh, Jesse Thaler"
Entanglement Entropy of the Gross-Neveu Model,"Jordan S. Cotler, Mark T. Mueller"
Nonminimal Couplings in the Early Universe: Multifield Models of Inflation and the Latest Observations,David I. Kaiser
Drag suppression in anomalous chiral media,"Andrey V. Sadofyev, Yi Yin"
Model-Independent Indirect Detection Constraints on Hidden Sector Dark Matter,"Gilly Elor, Nicholas L. Rodd, Tracy R. Slatyer, Wei Xue"
A Hydrodynamical Study on the Conversion of Hadronic Matter to Quark Matter: I. Shock-Induced Conversion,"Shun Furusawa, Takahiro Sanada, Shoichi Yamada"
Anisotropic pressure in the quark core of a strongly magnetized hybrid star,A. A. Isayev
Designing a mobile game to thwarts malicious IT threats: A phishing threat avoidance perspective,"Nalin Asanka Gamagedara Arachchilage, Ali Tarhini, Steve Love"
Training CNNs with Low-Rank Filters for Efficient Image Classification,"Yani Ioannou, Duncan Robertson, Jamie Shotton, Roberto Cipolla, Antonio Criminisi"
Canonical Typicality of Energy Eigenstates of an Isolated Quantum System,"Anatoly Dymarsky, Hong Liu"
Inferring Planetary Obliquity Using Rotational & Orbital Photometry,"Joel C. Schwartz, Clara Sekowski, Hal M. Haggard, Eric Pallé, Nicolas B. Cowan"
Classification of certain asymptotically AdS space-times with Ricci-flat boundary,Paolo Glorioso
Kilombo: a Kilobot simulator to enable effective research in swarm robotics,"Fredrik Jansson, Matthew Hartley, Martin Hinsch, Ivica Slavkov, Noemí Carranza, Tjelvar S. G. Olsson, Roland M. Dries, Johanna H. Grönqvist, Athanasius F. M. Marée, James Sharpe, Jaap A. Kaandorp, Verônica A. Grieneisen"
N=4 Superconformal Bootstrap of the K3 CFT,"Ying-Hsuan Lin, Shu-Heng Shao, David Simmons-Duffin, Yifan Wang, Xi Yin"
Chaos in quantum channels,"Pavan Hosur, Xiao-Liang Qi, Daniel A. Roberts, Beni Yoshida"
Effective field theory of dissipative fluids,"Michael Crossley, Paolo Glorioso, Hong Liu"
The F-theory geometry with most flux vacua,"Washington Taylor, Yi-Nan Wang"
Quantum algorithm for systems of linear equations with exponentially improved dependence on precision,"Andrew M. Childs, Robin Kothari, Rolando D. Somma"
Low energy scattering phase shifts for meson-baryon systems,"William Detmold, Amy Nicholson"
Separations in query complexity using cheat sheets,"Scott Aaronson, Shalev Ben-David, Robin Kothari"
SUSY in Silico: numerical D-brane bound state spectroscopy,Tarek Anous
